Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:28:20,2018-08-13 11:28:52,"31,850s",PASSED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:28:21,2018-08-13 11:28:48,"27,076s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:28:22,2018-08-13 11:28:26,"4,351s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:28:26,2018-08-13 11:28:28,"2,416s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:28,2018-08-13 11:28:31,"2,848s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:28:31,2018-08-13 11:28:33,"1,465s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:28:33,2018-08-13 11:28:33,"0,540s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:28:33,2018-08-13 11:28:34,"0,762s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:28:34,2018-08-13 11:28:34,"0,518s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:34,2018-08-13 11:28:35,"0,334s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:35,2018-08-13 11:28:36,"1,326s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:36,2018-08-13 11:28:40,"4,187s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:40,2018-08-13 11:28:48,"7,613s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:28:48,2018-08-13 11:28:51,"3,516s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:48,2018-08-13 11:28:48,"0,256s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:48,2018-08-13 11:28:49,"0,687s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:49,2018-08-13 11:28:49,"0,329s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:28:49,2018-08-13 11:28:50,"0,149s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-13 11:28:50,2018-08-13 11:28:51,"1,823s",PASSED
