Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:27:04,2018-08-14 10:27:28,"24,336s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 10:27:04,2018-08-14 10:27:13,"8,818s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 10:27:05,2018-08-14 10:27:09,"3,959s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 10:27:09,2018-08-14 10:27:12,"2,841s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 10:27:12,2018-08-14 10:27:12,"0,682s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 10:27:12,2018-08-14 10:27:13,"0,664s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:27:13,2018-08-14 10:27:13,"0,174s",PASSED
,,,,,,
Test Cases/CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:27:13,2018-08-14 10:27:27,"14,194s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 10:27:14,2018-08-14 10:27:20,"6,389s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:27:20,2018-08-14 10:27:20,"0,496s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:27:20,2018-08-14 10:27:27,"6,126s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:27:27,2018-08-14 10:27:27,"0,881s",FAILED
