Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:31:58,2018-08-14 12:32:18,"20,342s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:31:58,2018-08-14 12:32:07,"8,643s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:31:59,2018-08-14 12:32:03,"3,881s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:32:03,2018-08-14 12:32:06,"3,006s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:32:06,2018-08-14 12:32:06,"0,491s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:32:06,2018-08-14 12:32:07,"0,539s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:07,2018-08-14 12:32:07,"0,195s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:32:07,2018-08-14 12:32:17,"9,675s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:07,2018-08-14 12:32:13,"5,991s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:13,2018-08-14 12:32:14,"0,753s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:14,2018-08-14 12:32:14,"0,174s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:32:14,2018-08-14 12:32:15,"0,866s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:32:15,2018-08-14 12:32:16,"0,710s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:16,2018-08-14 12:32:16,"0,179s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 12:32:16,2018-08-14 12:32:16,"0,139s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:16,2018-08-14 12:32:17,"0,586s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:32:17,2018-08-14 12:32:18,"0,766s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:32:17,2018-08-14 12:32:18,"0,541s",FAILED
