Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:30:09,2018-08-13 11:30:39,"30,073s",PASSED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:30:10,2018-08-13 11:30:33,"22,653s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:30:10,2018-08-13 11:30:14,"3,946s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:30:14,2018-08-13 11:30:17,"2,396s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:17,2018-08-13 11:30:20,"3,775s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:30:20,2018-08-13 11:30:21,"0,876s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:30:21,2018-08-13 11:30:23,"1,143s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:30:23,2018-08-13 11:30:23,"0,588s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:30:23,2018-08-13 11:30:23,"0,365s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:23,2018-08-13 11:30:24,"0,501s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:24,2018-08-13 11:30:25,"0,719s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:25,2018-08-13 11:30:28,"3,614s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:28,2018-08-13 11:30:33,"4,224s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:30:33,2018-08-13 11:30:39,"6,124s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:33,2018-08-13 11:30:33,"0,292s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:33,2018-08-13 11:30:34,"0,674s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:34,2018-08-13 11:30:34,"0,320s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:30:34,2018-08-13 11:30:34,"0,218s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-13 11:30:34,2018-08-13 11:30:39,"4,331s",PASSED
