Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:21:54,2018-08-14 13:22:50,"55,960s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 13:21:54,2018-08-14 13:22:02,"8,006s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 13:21:55,2018-08-14 13:21:59,"4,020s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 13:21:59,2018-08-14 13:22:01,"1,973s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:22:01,2018-08-14 13:22:01,"0,633s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 13:22:01,2018-08-14 13:22:02,"0,619s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:02,2018-08-14 13:22:02,"0,198s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 13:22:02,2018-08-14 13:22:16,"13,613s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:02,2018-08-14 13:22:09,"6,482s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:09,2018-08-14 13:22:09,"0,526s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:09,2018-08-14 13:22:10,"0,239s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:22:10,2018-08-14 13:22:11,"0,949s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:22:11,2018-08-14 13:22:11,"0,536s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:11,2018-08-14 13:22:11,"0,142s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:22:11,2018-08-14 13:22:12,"1,081s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 13:22:12,2018-08-14 13:22:15,"3,070s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:15,2018-08-14 13:22:16,"0,276s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:22:16,2018-08-14 13:22:16,"0,038s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:22:16,2018-08-14 13:22:50,"33,806s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:16,2018-08-14 13:22:16,"0,152s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:16,2018-08-14 13:22:16,"0,378s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:16,2018-08-14 13:22:17,"0,231s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:22:17,2018-08-14 13:22:50,"32,846s",FAILED
