Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:47:06,2018-08-14 10:48:16,"1m - 10,181s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 10:47:06,2018-08-14 10:47:16,"9,612s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 10:47:07,2018-08-14 10:47:11,"3,831s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 10:47:11,2018-08-14 10:47:15,"4,002s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 10:47:15,2018-08-14 10:47:15,"0,527s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 10:47:15,2018-08-14 10:47:16,"0,583s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:47:16,2018-08-14 10:47:16,"0,179s",PASSED
,,,,,,
Test Cases/CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:47:16,2018-08-14 10:48:15,"59,323s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 10:47:16,2018-08-14 10:47:24,"7,468s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:47:24,2018-08-14 10:47:24,"0,647s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:47:24,2018-08-14 10:47:30,"5,930s",PASSED
mouseOver,Chrome 68.0.3440.106,,2018-08-14 10:47:30,2018-08-14 10:48:15,"45,017s",FAILED
