Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:20:23,2018-08-14 14:21:02,"38,491s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:20:24,2018-08-14 14:20:33,"9,517s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:20:24,2018-08-14 14:20:29,"4,924s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:20:29,2018-08-14 14:20:32,"2,274s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:20:32,2018-08-14 14:20:32,"0,724s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:20:32,2018-08-14 14:20:33,"0,702s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:33,2018-08-14 14:20:33,"0,197s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:20:33,2018-08-14 14:20:49,"15,963s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:34,2018-08-14 14:20:42,"8,390s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:42,2018-08-14 14:20:43,"0,552s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:43,2018-08-14 14:20:43,"0,432s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:20:43,2018-08-14 14:20:44,"0,931s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:20:44,2018-08-14 14:20:45,"0,675s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:45,2018-08-14 14:20:45,"0,168s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:20:45,2018-08-14 14:20:46,"1,169s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:20:46,2018-08-14 14:20:49,"3,025s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:49,2018-08-14 14:20:49,"0,287s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:20:49,2018-08-14 14:20:49,"0,040s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:20:49,2018-08-14 14:21:02,"12,264s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:49,2018-08-14 14:20:50,"0,166s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:50,2018-08-14 14:20:50,"0,464s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:20:50,2018-08-14 14:21:02,"11,407s",FAILED
