Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:09:56,2018-08-14 13:10:22,"25,814s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 13:09:57,2018-08-14 13:10:06,"9,311s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 13:09:58,2018-08-14 13:10:02,"4,295s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 13:10:02,2018-08-14 13:10:05,"2,751s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:10:05,2018-08-14 13:10:05,"0,631s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 13:10:05,2018-08-14 13:10:06,"0,634s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:06,2018-08-14 13:10:06,"0,236s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 13:10:06,2018-08-14 13:10:21,"14,484s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:07,2018-08-14 13:10:17,"10,005s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:17,2018-08-14 13:10:17,"0,639s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:17,2018-08-14 13:10:18,"0,217s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:10:18,2018-08-14 13:10:18,"0,834s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:10:18,2018-08-14 13:10:19,"0,583s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:19,2018-08-14 13:10:19,"0,168s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:10:19,2018-08-14 13:10:20,"1,077s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:20,2018-08-14 13:10:21,"0,570s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:10:21,2018-08-14 13:10:22,"1,370s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:10:21,2018-08-14 13:10:22,"1,197s",FAILED
