Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:40:14,2018-08-14 10:41:25,"1m - 10,782s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 10:40:14,2018-08-14 10:40:24,"9,408s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 10:40:15,2018-08-14 10:40:18,"3,677s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 10:40:18,2018-08-14 10:40:22,"3,364s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 10:40:22,2018-08-14 10:40:22,"0,436s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 10:40:22,2018-08-14 10:40:23,"0,930s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:40:23,2018-08-14 10:40:24,"0,490s",PASSED
,,,,,,
Test Cases/CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:40:24,2018-08-14 10:41:24,"1m - 0,193s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 10:40:24,2018-08-14 10:40:33,"9,049s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:40:33,2018-08-14 10:40:34,"0,288s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:40:34,2018-08-14 10:40:38,"4,343s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:40:38,2018-08-14 10:41:24,"45,998s",FAILED
