Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:12:25,2018-08-14 14:13:02,"37,587s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:12:26,2018-08-14 14:12:34,"8,832s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:12:26,2018-08-14 14:12:31,"4,539s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:12:31,2018-08-14 14:12:33,"2,451s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:12:33,2018-08-14 14:12:34,"0,524s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:12:34,2018-08-14 14:12:34,"0,537s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:34,2018-08-14 14:12:34,"0,187s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:12:34,2018-08-14 14:12:50,"15,954s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:35,2018-08-14 14:12:42,"7,145s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:42,2018-08-14 14:12:42,"0,498s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:42,2018-08-14 14:12:43,"0,713s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:12:43,2018-08-14 14:12:44,"1,094s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:12:44,2018-08-14 14:12:45,"0,569s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:45,2018-08-14 14:12:45,"0,154s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:12:45,2018-08-14 14:12:47,"2,145s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:12:47,2018-08-14 14:12:50,"3,022s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:50,2018-08-14 14:12:50,"0,304s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:12:50,2018-08-14 14:12:50,"0,039s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:12:50,2018-08-14 14:13:02,"12,139s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:51,2018-08-14 14:12:51,"0,147s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:51,2018-08-14 14:12:51,"0,376s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:12:51,2018-08-14 14:13:02,"11,405s",FAILED
