Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:19:02,2018-08-14 12:19:20,"18,921s",PASSED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:19:02,2018-08-14 12:19:10,"8,006s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:19:03,2018-08-14 12:19:06,"3,757s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:19:06,2018-08-14 12:19:09,"2,505s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:19:09,2018-08-14 12:19:09,"0,437s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:19:09,2018-08-14 12:19:10,"0,614s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:19:10,2018-08-14 12:19:10,"0,211s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:19:10,2018-08-14 12:19:20,"9,719s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:19:10,2018-08-14 12:19:17,"6,954s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:19:17,2018-08-14 12:19:18,"0,522s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:19:18,2018-08-14 12:19:18,"0,263s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:19:18,2018-08-14 12:19:19,"0,852s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:19:19,2018-08-14 12:19:20,"0,679s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:19:20,2018-08-14 12:19:20,"0,203s",PASSED
