Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyElementsPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:33,2018-08-14 14:41:57,"23,579s",PASSED
,,,,,,
Test Cases/Login,Chrome 68.0.3440.106,,2018-08-14 14:41:34,2018-08-14 14:41:46,"12,468s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:41:34,2018-08-14 14:41:39,"4,566s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:41:39,2018-08-14 14:41:44,"5,589s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:41:44,2018-08-14 14:41:45,"0,829s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:41:45,2018-08-14 14:41:46,"0,765s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:41:46,2018-08-14 14:41:46,"0,222s",PASSED
,,,,,,
Test Cases/VerifyElementsPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:46,2018-08-14 14:41:54,"7,618s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:46,2018-08-14 14:41:52,"5,939s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:52,2018-08-14 14:41:52,"0,084s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:52,2018-08-14 14:41:53,"0,362s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:53,2018-08-14 14:41:53,"0,067s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:53,2018-08-14 14:41:53,"0,065s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:53,2018-08-14 14:41:54,"0,768s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:41:54,2018-08-14 14:41:54,"0,074s",PASSED
,,,,,,
Test Cases/Logout,Chrome 68.0.3440.106,,2018-08-14 14:41:54,2018-08-14 14:41:57,"2,951s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:41:54,2018-08-14 14:41:54,"0,426s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:41:54,2018-08-14 14:41:57,"2,351s",PASSED
