Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:05:33,2018-08-13 11:06:00,"27,532s",PASSED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:05:33,2018-08-13 11:05:58,"24,587s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:05:34,2018-08-13 11:05:38,"4,032s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:05:38,2018-08-13 11:05:40,"2,652s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:40,2018-08-13 11:05:43,"3,004s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:05:43,2018-08-13 11:05:44,"1,003s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:05:44,2018-08-13 11:05:45,"1,003s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:05:45,2018-08-13 11:05:46,"0,669s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:05:46,2018-08-13 11:05:47,"0,606s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:47,2018-08-13 11:05:47,"0,330s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:47,2018-08-13 11:05:48,"1,237s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:48,2018-08-13 11:05:52,"4,238s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:52,2018-08-13 11:05:58,"5,375s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:05:58,2018-08-13 11:06:00,"2,372s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:58,2018-08-13 11:05:58,"0,326s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:58,2018-08-13 11:05:59,"0,706s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:59,2018-08-13 11:05:59,"0,343s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:05:59,2018-08-13 11:05:59,"0,147s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-13 11:05:59,2018-08-13 11:06:00,"0,677s",PASSED
