Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:19:28,2018-08-14 13:20:24,"55,150s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 13:19:29,2018-08-14 13:19:38,"8,862s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 13:19:30,2018-08-14 13:19:34,"4,298s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 13:19:34,2018-08-14 13:19:36,"2,457s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:19:36,2018-08-14 13:19:37,"0,580s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 13:19:37,2018-08-14 13:19:38,"0,750s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:38,2018-08-14 13:19:38,"0,219s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 13:19:38,2018-08-14 13:19:51,"12,854s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:38,2018-08-14 13:19:46,"8,171s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:46,2018-08-14 13:19:47,"0,499s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:47,2018-08-14 13:19:47,"0,206s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:19:47,2018-08-14 13:19:48,"0,897s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:19:48,2018-08-14 13:19:49,"0,685s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:49,2018-08-14 13:19:49,"0,155s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:19:49,2018-08-14 13:19:50,"1,389s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:50,2018-08-14 13:19:51,"0,506s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:19:51,2018-08-14 13:20:24,"32,743s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:51,2018-08-14 13:19:51,"0,164s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:51,2018-08-14 13:19:51,"0,136s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:51,2018-08-14 13:19:51,"0,148s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:19:51,2018-08-14 13:20:24,"32,111s",FAILED
