Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:34:49,2018-08-14 14:35:27,"38,445s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:34:49,2018-08-14 14:34:59,"9,485s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:34:50,2018-08-14 14:34:54,"4,372s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:34:54,2018-08-14 14:34:57,"2,238s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:34:57,2018-08-14 14:34:58,"1,048s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:34:58,2018-08-14 14:34:58,"0,864s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:34:58,2018-08-14 14:34:59,"0,320s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:34:59,2018-08-14 14:35:15,"16,162s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:34:59,2018-08-14 14:35:07,"7,997s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:07,2018-08-14 14:35:08,"0,767s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:08,2018-08-14 14:35:08,"0,322s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:35:08,2018-08-14 14:35:09,"0,825s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:35:09,2018-08-14 14:35:10,"0,721s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:10,2018-08-14 14:35:10,"0,159s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:35:10,2018-08-14 14:35:12,"1,674s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:35:12,2018-08-14 14:35:15,"3,028s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:15,2018-08-14 14:35:15,"0,347s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:35:15,2018-08-14 14:35:15,"0,039s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:35:15,2018-08-14 14:35:27,"12,190s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:15,2018-08-14 14:35:15,"0,145s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:15,2018-08-14 14:35:16,"0,379s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:35:16,2018-08-14 14:35:27,"11,492s",FAILED
