Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:27:34,2018-08-14 14:28:17,"43,812s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:27:34,2018-08-14 14:27:45,"10,830s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:27:35,2018-08-14 14:27:40,"5,073s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:27:40,2018-08-14 14:27:43,"2,905s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:27:43,2018-08-14 14:27:44,"0,848s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:27:44,2018-08-14 14:27:45,"0,883s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:27:45,2018-08-14 14:27:45,"0,420s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:27:45,2018-08-14 14:28:05,"19,953s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:27:45,2018-08-14 14:27:54,"8,996s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:27:54,2018-08-14 14:27:58,"4,004s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:27:58,2018-08-14 14:27:59,"0,202s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:27:59,2018-08-14 14:27:59,"0,864s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:27:59,2018-08-14 14:28:00,"0,687s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:28:00,2018-08-14 14:28:00,"0,230s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:28:00,2018-08-14 14:28:02,"1,168s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:28:02,2018-08-14 14:28:05,"3,026s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:28:05,2018-08-14 14:28:05,"0,341s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:28:05,2018-08-14 14:28:05,"0,045s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:28:05,2018-08-14 14:28:17,"12,381s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:28:05,2018-08-14 14:28:05,"0,202s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:28:05,2018-08-14 14:28:06,"0,387s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:28:06,2018-08-14 14:28:17,"11,574s",FAILED
