Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:22:31,2018-08-13 11:22:59,"27,627s",PASSED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:22:32,2018-08-13 11:22:55,"22,594s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:22:33,2018-08-13 11:22:36,"3,766s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:22:36,2018-08-13 11:22:39,"2,265s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:39,2018-08-13 11:22:41,"2,705s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:22:41,2018-08-13 11:22:44,"2,254s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:22:44,2018-08-13 11:22:44,"0,832s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:22:44,2018-08-13 11:22:45,"0,741s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:22:45,2018-08-13 11:22:46,"0,462s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:46,2018-08-13 11:22:46,"0,392s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:46,2018-08-13 11:22:47,"0,671s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:47,2018-08-13 11:22:51,"4,088s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:51,2018-08-13 11:22:55,"3,810s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:22:55,2018-08-13 11:22:58,"3,827s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:55,2018-08-13 11:22:55,"0,211s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:55,2018-08-13 11:22:56,"0,747s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:56,2018-08-13 11:22:56,"0,312s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:22:56,2018-08-13 11:22:56,"0,224s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-13 11:22:56,2018-08-13 11:22:58,"2,083s",PASSED
