Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:14:27,2018-08-14 12:15:17,"50,369s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:14:27,2018-08-14 12:14:36,"8,485s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:14:28,2018-08-14 12:14:32,"3,844s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:14:32,2018-08-14 12:14:34,"2,274s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:14:34,2018-08-14 12:14:35,"0,772s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:14:35,2018-08-14 12:14:35,"0,769s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:14:35,2018-08-14 12:14:36,"0,297s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:14:36,2018-08-14 12:15:16,"40,399s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:14:36,2018-08-14 12:14:43,"6,829s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:14:43,2018-08-14 12:14:43,"0,535s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:14:43,2018-08-14 12:14:44,"0,430s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:14:44,2018-08-14 12:15:16,"32,336s",FAILED
