Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:08:16,2018-08-14 14:08:52,"35,985s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:08:17,2018-08-14 14:08:26,"9,013s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:08:18,2018-08-14 14:08:22,"4,602s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:08:22,2018-08-14 14:08:25,"2,347s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:08:25,2018-08-14 14:08:25,"0,572s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:08:25,2018-08-14 14:08:26,"0,764s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:26,2018-08-14 14:08:26,"0,177s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:08:26,2018-08-14 14:08:40,"14,357s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:26,2018-08-14 14:08:34,"7,252s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:34,2018-08-14 14:08:34,"0,475s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:34,2018-08-14 14:08:34,"0,291s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:08:34,2018-08-14 14:08:35,"0,835s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:08:35,2018-08-14 14:08:36,"0,623s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:36,2018-08-14 14:08:36,"0,159s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:08:36,2018-08-14 14:08:37,"1,081s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:08:37,2018-08-14 14:08:40,"3,039s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:40,2018-08-14 14:08:40,"0,311s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:08:40,2018-08-14 14:08:40,"0,035s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:08:40,2018-08-14 14:08:52,"12,016s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:41,2018-08-14 14:08:41,"0,136s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:41,2018-08-14 14:08:41,"0,363s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:08:41,2018-08-14 14:08:52,"11,349s",FAILED
