Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:05:45,2018-08-14 14:06:22,"37,658s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 14:05:45,2018-08-14 14:05:55,"9,434s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 14:05:46,2018-08-14 14:05:51,"5,201s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 14:05:51,2018-08-14 14:05:53,"2,246s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:05:53,2018-08-14 14:05:54,"0,547s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 14:05:54,2018-08-14 14:05:54,"0,666s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:05:54,2018-08-14 14:05:55,"0,183s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 14:05:55,2018-08-14 14:06:10,"15,159s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:05:55,2018-08-14 14:06:02,"6,783s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:02,2018-08-14 14:06:02,"0,722s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:02,2018-08-14 14:06:03,"0,235s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:06:03,2018-08-14 14:06:04,"1,005s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 14:06:04,2018-08-14 14:06:04,"0,645s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:04,2018-08-14 14:06:04,"0,297s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:06:04,2018-08-14 14:06:06,"1,817s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 14:06:06,2018-08-14 14:06:09,"3,030s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:09,2018-08-14 14:06:10,"0,322s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 14:06:10,2018-08-14 14:06:10,"0,054s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 14:06:10,2018-08-14 14:06:22,"12,450s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:10,2018-08-14 14:06:10,"0,155s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:10,2018-08-14 14:06:11,"0,465s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 14:06:11,2018-08-14 14:06:22,"11,509s",FAILED
