Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:49:41,2018-08-14 12:50:02,"20,579s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:49:42,2018-08-14 12:49:50,"8,119s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:49:42,2018-08-14 12:49:46,"4,120s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:49:46,2018-08-14 12:49:49,"2,229s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:49:49,2018-08-14 12:49:49,"0,487s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:49:49,2018-08-14 12:49:50,"0,584s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:49:50,2018-08-14 12:49:50,"0,178s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:49:50,2018-08-14 12:50:00,"10,171s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:49:50,2018-08-14 12:49:56,"6,004s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:49:56,2018-08-14 12:49:57,"0,417s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:49:57,2018-08-14 12:49:57,"0,171s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:49:57,2018-08-14 12:49:58,"0,896s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:49:58,2018-08-14 12:49:58,"0,626s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:49:58,2018-08-14 12:49:58,"0,164s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 12:49:58,2018-08-14 12:50:00,"1,103s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:50:00,2018-08-14 12:50:00,"0,522s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:50:00,2018-08-14 12:50:01,"1,019s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:50:00,2018-08-14 12:50:01,"0,795s",FAILED
