Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:10:32,2018-08-13 11:11:26,"54,151s",FAILED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:10:32,2018-08-13 11:10:54,"21,753s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:10:33,2018-08-13 11:10:37,"3,893s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:10:37,2018-08-13 11:10:39,"2,097s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:10:39,2018-08-13 11:10:42,"3,479s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:10:42,2018-08-13 11:10:43,"0,900s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:10:43,2018-08-13 11:10:44,"1,114s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:10:44,2018-08-13 11:10:45,"0,561s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:10:45,2018-08-13 11:10:45,"0,546s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:10:45,2018-08-13 11:10:46,"0,341s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:10:46,2018-08-13 11:10:46,"0,681s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:10:46,2018-08-13 11:10:50,"4,010s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:10:50,2018-08-13 11:10:54,"3,552s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:10:54,2018-08-13 11:11:25,"31,171s",FAILED
click,Chrome 68.0.3440.106,,2018-08-13 11:10:54,2018-08-13 11:10:54,"0,002s",NOT_RUN
click,Chrome 68.0.3440.106,,2018-08-13 11:10:54,2018-08-13 11:11:25,"30,900s",FAILED
