Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:23:36,2018-08-13 11:24:07,"30,295s",PASSED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:23:37,2018-08-13 11:24:01,"23,959s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:23:37,2018-08-13 11:23:42,"4,068s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:23:42,2018-08-13 11:23:44,"2,261s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:23:44,2018-08-13 11:23:47,"3,206s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:23:47,2018-08-13 11:23:48,"0,870s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:23:48,2018-08-13 11:23:49,"1,183s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:23:49,2018-08-13 11:23:50,"0,503s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:23:50,2018-08-13 11:23:50,"0,586s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:23:50,2018-08-13 11:23:51,"0,383s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:23:51,2018-08-13 11:23:52,"1,236s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:23:52,2018-08-13 11:23:56,"4,524s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:23:56,2018-08-13 11:24:01,"4,671s",PASSED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:24:01,2018-08-13 11:24:06,"4,974s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:24:01,2018-08-13 11:24:02,"0,345s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:24:02,2018-08-13 11:24:03,"1,241s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:24:03,2018-08-13 11:24:04,"0,948s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:24:04,2018-08-13 11:24:04,"0,160s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-13 11:24:04,2018-08-13 11:24:06,"2,002s",PASSED
