Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:06:14,2018-08-14 13:07:13,"58,938s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 13:06:14,2018-08-14 13:06:23,"9,131s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 13:06:15,2018-08-14 13:06:19,"4,040s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 13:06:19,2018-08-14 13:06:22,"2,735s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:06:22,2018-08-14 13:06:22,"0,767s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 13:06:22,2018-08-14 13:06:23,"0,585s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:23,2018-08-14 13:06:23,"0,222s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 13:06:23,2018-08-14 13:06:39,"15,463s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:24,2018-08-14 13:06:35,"11,184s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:35,2018-08-14 13:06:35,"0,419s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:35,2018-08-14 13:06:35,"0,169s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:06:35,2018-08-14 13:06:36,"0,880s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:06:36,2018-08-14 13:06:37,"0,638s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:37,2018-08-14 13:06:37,"0,170s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:06:37,2018-08-14 13:06:38,"1,101s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:38,2018-08-14 13:06:39,"0,562s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:06:39,2018-08-14 13:07:13,"33,711s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:39,2018-08-14 13:06:40,"0,812s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:40,2018-08-14 13:06:40,"0,132s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:40,2018-08-14 13:06:40,"0,131s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:06:40,2018-08-14 13:07:12,"32,432s",FAILED
