Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:08:31,2018-08-13 11:09:52,"1m - 20,352s",FAILED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:08:32,2018-08-13 11:09:19,"46,870s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:08:32,2018-08-13 11:08:36,"3,927s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:08:36,2018-08-13 11:08:38,"2,055s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:08:38,2018-08-13 11:08:43,"4,269s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:08:43,2018-08-13 11:08:43,"0,937s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:08:43,2018-08-13 11:08:45,"1,131s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:08:45,2018-08-13 11:08:45,"0,863s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:08:45,2018-08-13 11:08:46,"0,488s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:08:46,2018-08-13 11:08:47,"0,631s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:08:47,2018-08-13 11:09:19,"31,990s",FAILED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:09:19,2018-08-13 11:09:51,"32,279s",FAILED
click,Chrome 68.0.3440.106,,2018-08-13 11:09:19,2018-08-13 11:09:19,"0,002s",NOT_RUN
click,Chrome 68.0.3440.106,,2018-08-13 11:09:19,2018-08-13 11:09:51,"32,086s",FAILED
