Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:28:47,2018-08-14 10:29:58,"1m - 11,528s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 10:28:47,2018-08-14 10:28:58,"10,892s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 10:28:48,2018-08-14 10:28:52,"4,457s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 10:28:52,2018-08-14 10:28:56,"4,152s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 10:28:56,2018-08-14 10:28:57,"0,818s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 10:28:57,2018-08-14 10:28:58,"0,815s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:28:58,2018-08-14 10:28:58,"0,196s",PASSED
,,,,,,
Test Cases/CreateDataboard,Chrome 68.0.3440.106,,2018-08-14 10:28:58,2018-08-14 10:29:58,"59,478s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 10:28:58,2018-08-14 10:29:08,"9,371s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:29:08,2018-08-14 10:29:08,"0,590s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:29:08,2018-08-14 10:29:13,"4,575s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 10:29:13,2018-08-14 10:29:58,"44,692s",FAILED
