Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:47:16,2018-08-14 12:47:41,"25,121s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:47:17,2018-08-14 12:47:26,"9,330s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:47:17,2018-08-14 12:47:21,"3,848s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:47:21,2018-08-14 12:47:25,"3,408s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:47:25,2018-08-14 12:47:25,"0,707s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:47:25,2018-08-14 12:47:26,"0,700s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:26,2018-08-14 12:47:26,"0,235s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:47:26,2018-08-14 12:47:40,"13,660s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:26,2018-08-14 12:47:36,"9,932s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:36,2018-08-14 12:47:37,"0,871s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:37,2018-08-14 12:47:37,"0,212s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:47:37,2018-08-14 12:47:38,"0,835s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:47:38,2018-08-14 12:47:39,"0,645s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:39,2018-08-14 12:47:39,"0,176s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 12:47:39,2018-08-14 12:47:39,"0,068s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:39,2018-08-14 12:47:40,"0,645s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:47:40,2018-08-14 12:47:41,"0,748s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:47:40,2018-08-14 12:47:41,"0,494s",FAILED
