Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:28:26,2018-08-14 12:28:46,"20,608s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:28:26,2018-08-14 12:28:34,"7,799s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:28:27,2018-08-14 12:28:31,"3,870s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:28:31,2018-08-14 12:28:33,"2,067s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:28:33,2018-08-14 12:28:33,"0,549s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:28:33,2018-08-14 12:28:34,"0,609s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:28:34,2018-08-14 12:28:34,"0,218s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:28:34,2018-08-14 12:28:44,"9,960s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:28:34,2018-08-14 12:28:40,"5,814s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:28:40,2018-08-14 12:28:41,"0,653s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:28:41,2018-08-14 12:28:41,"0,189s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:28:41,2018-08-14 12:28:42,"0,916s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:28:42,2018-08-14 12:28:43,"0,829s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:28:43,2018-08-14 12:28:43,"0,170s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 12:28:43,2018-08-14 12:28:44,"1,092s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:28:44,2018-08-14 12:28:46,"1,561s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:28:44,2018-08-14 12:28:45,"1,248s",FAILED
