Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:40:31,2018-08-14 12:41:26,"54,906s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:40:31,2018-08-14 12:40:41,"9,963s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:40:32,2018-08-14 12:40:37,"4,671s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:40:37,2018-08-14 12:40:40,"2,739s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:40:40,2018-08-14 12:40:40,"0,610s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:40:40,2018-08-14 12:40:41,"0,995s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:41,2018-08-14 12:40:41,"0,268s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:40:41,2018-08-14 12:40:54,"13,026s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:42,2018-08-14 12:40:48,"6,730s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:48,2018-08-14 12:40:49,"0,967s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:49,2018-08-14 12:40:50,"0,320s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:40:50,2018-08-14 12:40:51,"1,059s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:40:51,2018-08-14 12:40:52,"1,586s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:52,2018-08-14 12:40:53,"0,212s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 12:40:53,2018-08-14 12:40:54,"1,134s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:54,2018-08-14 12:40:54,"0,688s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:40:54,2018-08-14 12:41:25,"30,425s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:55,2018-08-14 12:40:55,"0,228s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:55,2018-08-14 12:40:55,"0,251s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:55,2018-08-14 12:40:55,"0,248s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:40:55,2018-08-14 12:41:25,"29,238s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:41:25,2018-08-14 12:41:25,"0,232s",PASSED
