Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:47:48,2018-08-14 13:49:00,"1m - 12,452s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 13:47:48,2018-08-14 13:48:01,"12,651s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 13:47:49,2018-08-14 13:47:53,"4,017s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 13:47:53,2018-08-14 13:47:55,"1,905s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:47:55,2018-08-14 13:47:55,"0,418s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 13:47:55,2018-08-14 13:47:56,"0,549s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:47:56,2018-08-14 13:48:01,"5,195s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 13:48:01,2018-08-14 13:48:17,"15,576s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:01,2018-08-14 13:48:09,"7,980s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:09,2018-08-14 13:48:10,"0,533s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:10,2018-08-14 13:48:10,"0,173s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:48:10,2018-08-14 13:48:11,"0,907s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 13:48:11,2018-08-14 13:48:12,"1,050s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:12,2018-08-14 13:48:12,"0,173s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:48:12,2018-08-14 13:48:13,"1,101s",PASSED
delay,Chrome 68.0.3440.106,,2018-08-14 13:48:13,2018-08-14 13:48:16,"3,020s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:16,2018-08-14 13:48:17,"0,274s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 13:48:17,2018-08-14 13:48:17,"0,044s",PASSED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 13:48:17,2018-08-14 13:49:00,"43,660s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:17,2018-08-14 13:48:17,"0,196s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:17,2018-08-14 13:48:17,"0,342s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:17,2018-08-14 13:48:18,"0,202s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:18,2018-08-14 13:48:27,"8,954s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:27,2018-08-14 13:48:27,"0,160s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 13:48:27,2018-08-14 13:49:00,"33,638s",FAILED
