Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create_Delete_Account,Chrome 68.0.3440.106,,2018-08-13 11:02:38,2018-08-13 11:03:09,"30,643s",FAILED
,,,,,,
Test Cases/CreateAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:02:39,2018-08-13 11:02:54,"14,833s",FAILED
openBrowser,Chrome 68.0.3440.106,,2018-08-13 11:02:39,2018-08-13 11:02:43,"4,009s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-13 11:02:43,2018-08-13 11:02:46,"2,545s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:02:46,2018-08-13 11:02:50,"3,703s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:02:50,2018-08-13 11:02:51,"1,529s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:02:51,2018-08-13 11:02:52,"0,423s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-13 11:02:52,2018-08-13 11:02:52,"0,737s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-13 11:02:52,2018-08-13 11:02:53,"0,429s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:02:53,2018-08-13 11:02:53,"0,350s",PASSED
click,Chrome 68.0.3440.106,,2018-08-13 11:02:53,2018-08-13 11:02:54,"0,568s",FAILED
,,,,,,
Test Cases/DeleteAccountCompany,Chrome 68.0.3440.106,,2018-08-13 11:02:54,2018-08-13 11:03:08,"14,551s",FAILED
click,Chrome 68.0.3440.106,,2018-08-13 11:02:54,2018-08-13 11:03:08,"14,326s",FAILED
