Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateUser_DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:45:33,2018-08-14 12:45:59,"25,771s",FAILED
,,,,,,
Test Cases/LoginAccountCompany,Chrome 68.0.3440.106,,2018-08-14 12:45:34,2018-08-14 12:45:42,"8,184s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-14 12:45:34,2018-08-14 12:45:38,"3,757s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-14 12:45:38,2018-08-14 12:45:40,"2,263s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:45:40,2018-08-14 12:45:41,"0,844s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-14 12:45:41,2018-08-14 12:45:42,"0,662s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:42,2018-08-14 12:45:42,"0,208s",PASSED
,,,,,,
Test Cases/CreateUser,Chrome 68.0.3440.106,,2018-08-14 12:45:42,2018-08-14 12:45:54,"11,489s",FAILED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:42,2018-08-14 12:45:48,"5,925s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:48,2018-08-14 12:45:49,"0,423s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:49,2018-08-14 12:45:49,"0,177s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:45:49,2018-08-14 12:45:50,"1,427s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-14 12:45:50,2018-08-14 12:45:51,"0,721s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:51,2018-08-14 12:45:51,"0,266s",PASSED
verifyElementPresent,Chrome 68.0.3440.106,,2018-08-14 12:45:51,2018-08-14 12:45:52,"1,155s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:52,2018-08-14 12:45:54,"1,143s",FAILED
,,,,,,
Test Cases/DeleteUser,Chrome 68.0.3440.106,,2018-08-14 12:45:54,2018-08-14 12:45:58,"4,799s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:54,2018-08-14 12:45:54,"0,156s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:54,2018-08-14 12:45:54,"0,258s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:54,2018-08-14 12:45:54,"0,127s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:54,2018-08-14 12:45:58,"3,803s",PASSED
click,Chrome 68.0.3440.106,,2018-08-14 12:45:58,2018-08-14 12:45:58,"0,265s",PASSED
